16,140100,太原市,140000,
17,140200,大同市,140000, 
18,140300,阳泉市,140000, 
19,140400,长治市,140000, 
20,140500,晋城市,140000, 
21,140600,朔州市,140000, 
22,140700,晋中市,140000, 
23,140800,运城市,140000, 
24,140900,忻州市,140000, 
25,141000,临汾市,140000, 
26,141100,吕梁市,140000, 
221,140105,小店区,140100, 
222,140106,迎泽区,140100, 
220,140101,市辖区,140100, 
229,140123,娄烦县,140100, 
230,140181,古交市,140100, 
223,140107,杏花岭区,140100, 
228,140122,阳曲县,140100, 
227,140121,清徐县,140100, 
226,140110,晋源区,140100, 
224,140108,尖草坪区,140100, 
225,140109,万柏林区,140100, 
232,140202,城　区,140200, 
241,140226,左云县,140200, 
242,140227,大同县,140200, 
231,140201,市辖区,140200, 
236,140221,阳高县,140200, 
237,140222,天镇县,140200, 
238,140223,广灵县,140200, 
233,140203,矿　区,140200, 
234,140211,南郊区,140200, 
235,140212,新荣区,140200, 
240,140225,浑源县,140200, 
239,140224,灵丘县,140200, 
246,140311,郊　区,140300, 
247,140321,平定县,140300, 
248,140322,盂　县,140300, 
243,140301,市辖区,140300, 
244,140302,城　区,140300, 
245,140303,矿　区,140300, 
251,140411,郊　区,140400, 
252,140421,长治县,140400, 
249,140401,市辖区,140400, 
250,140402,城　区,140400, 
259,140429,武乡县,140400, 
258,140428,长子县,140400, 
260,140430,沁　县,140400, 
262,140481,潞城市,140400, 
261,140431,沁源县,140400, 
254,140424,屯留县,140400, 
253,140423,襄垣县,140400, 
255,140425,平顺县,140400, 
257,140427,壶关县,140400, 
256,140426,黎城县,140400, 
265,140521,沁水县,140500, 
264,140502,城　区,140500, 
263,140501,市辖区,140500, 
266,140522,阳城县,140500, 
269,140581,高平市,140500, 
268,140525,泽州县,140500, 
267,140524,陵川县,140500, 
272,140603,平鲁区,140600, 
271,140602,朔城区,140600, 
270,140601,市辖区,140600, 
273,140621,山阴县,140600, 
276,140624,怀仁县,140600, 
275,140623,右玉县,140600, 
274,140622,应　县,140600, 
280,140722,左权县,140700, 
281,140723,和顺县,140700, 
282,140724,昔阳县,140700, 
277,140701,市辖区,140700, 
278,140702,榆次区,140700, 
279,140721,榆社县,140700, 
286,140728,平遥县,140700, 
287,140729,灵石县,140700, 
288,140781,介休市,140700, 
283,140725,寿阳县,140700, 
284,140726,太谷县,140700, 
285,140727,祁　县,140700, 
298,140828,夏　县,140800, 
297,140827,垣曲县,140800, 
296,140826,绛　县,140800, 
299,140829,平陆县,140800, 
302,140882,河津市,140800, 
301,140881,永济市,140800, 
300,140830,芮城县,140800, 
291,140821,临猗县,140800, 
290,140802,盐湖区,140800, 
289,140801,市辖区,140800, 
292,140822,万荣县,140800, 
295,140825,新绛县,140800, 
294,140824,稷山县,140800, 
293,140823,闻喜县,140800, 
303,140901,市辖区,140900, 
316,140932,偏关县,140900, 
317,140981,原平市,140900, 
311,140927,神池县,140900, 
315,140931,保德县,140900, 
312,140928,五寨县,140900, 
313,140929,岢岚县,140900, 
314,140930,河曲县,140900, 
306,140922,五台县,140900, 
305,140921,定襄县,140900, 
304,140902,忻府区,140900, 
307,140923,代　县,140900, 
310,140926,静乐县,140900, 
309,140925,宁武县,140900, 
308,140924,繁峙县,140900, 
